# name fluence width dm_obs dm_exc_ne2001 dm_exc_ymw16
FRB20180725A 1.633430 1.966080 715.912942 641.810432 631.107819
FRB20180727A 2.310000 3.932160 642.013822 620.692116 622.263450
FRB20180729A 3.175466 1.966080 109.607795 78.741579 86.792007
FRB20180729B 1.200000 1.966080 317.310886 223.354346 198.822407
FRB20180730A 27.000000 5.898240 848.878320 796.222829 800.021127
FRB20180801A 7.900000 5.898240 656.065668 550.504048 519.978347
FRB20180806A 1.840085 2.949120 739.900446 699.167944 705.868814
FRB20180810A 1.700000 1.966080 414.892285 310.353257 274.813568
FRB20180810B 7.900000 1.966080 169.101314 128.114702 135.348626
FRB20180812A 5.400000 5.898240 802.400165 719.969330 703.192786
FRB20180814B 10.600000 4.915200 238.316572 197.128241 203.577013
FRB20180814B 10.600000 4.915200 238.316572 197.128241 203.577013
FRB20180817A 8.145496 17.694720 1006.643894 977.318201 981.200229
FRB20180904A 6.000000 1.966080 361.071447 305.311778 308.055281
FRB20180906A 2.700000 1.966080 383.293841 339.844532 346.420880
FRB20180906B 1.500000 7.864320 3037.860369 3006.379691 3015.091635
FRB20180907D 4.900000 3.932160 1446.537319 1391.961395 1394.291561
FRB20180907A 2.800000 4.915200 877.077273 784.876192 801.551538
FRB20180907B 2.900000 1.966080 658.192234 620.080262 628.291182
FRB20180907C 1.480000 1.966080 638.333385 546.811616 522.846791
FRB20180907E 4.955269 20.643840 382.470676 352.014881 362.663170
FRB20180909A 1.020000 19.660800 408.302178 358.461890 364.006279
FRB20180911A 2.600000 3.932160 221.235461 164.811139 166.679081
FRB20180915A 6.200000 2.949120 370.835227 198.693583 224.567231
FRB20180915B 3.800000 3.932160 177.110282 154.478596 154.103543
FRB20180916A 4.500000 1.966080 296.036511 216.621906 203.962045
FRB20180916C 2.247504 9.830400 2251.417008 2177.444050 2165.221844
FRB20180917B 8.300000 17.694720 856.696466 813.371697 819.648275
FRB20180918A 4.100000 2.949120 1454.137934 1374.055550 1367.915671
FRB20180919B 4.055349 1.966080 560.174932 527.267001 535.899821
FRB20180920A 7.081559 13.762560 555.672086 394.675682 324.248101
FRB20180920B 1.421906 9.830400 463.104896 429.743128 437.947605
FRB20180921A 4.564467 3.932160 394.366149 358.963440 368.258499
FRB20180922A 7.700000 1.966080 555.602462 414.388653 341.770374
FRB20180923A 1.200000 1.966080 219.488725 119.454257 92.518745
FRB20180923D 4.209594 1.966080 329.378946 298.621821 308.726022
FRB20180923C 1.370000 1.966080 173.793763 144.705443 146.307001
FRB20180924A 3.626099 1.966080 1116.321907 1046.764154 1048.556921
FRB20180925A 8.700000 16.711680 236.929674 165.778935 157.773755
FRB20180925B 3.447551 1.966080 668.008130 628.232472 637.386641
FRB20180928A 2.500000 1.966080 252.621693 93.738962 135.589578
FRB20181012B 2.062877 3.932160 715.182016 681.478141 689.173560
